time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2015. 04,663,0,100.3,99.5,99.5,99.8,99.5,80210,,3589494,3444612,130702,56250,52886,3365,116193,76800,39394,108724,69336,39388,115195,82311,32884,73571,63347,10224,194.4,196.4,140.7,3229913,3298628,1422262,174080
2015. 05,664,0,98.6,99.2,99.6,97.7,98,76882,,3583449,3438589,130402,51202,49132,2071,101353,63313,38040,96828,58798,38031,107675,78522,29153,72173,60216,11956,171.5,172.9,132.4,3072538,3134248,1359688,175451
2015. 06,665,0,99.3,99.9,99.9,99.8,99.9,80523,,3588904,3446747,127725,43269,40848,2421,110766,69595,41171,106521,65449,41072,105285,73547,31738,68758,57334,11424,194.6,196.6,137.5,3318707,3386757,1423244,176425
2015. 07,666,0,100,98,99.9,98.5,98.9,84487,,3597781,3452562,131030,39952,37825,2127,111080,69598,41481,104545,63073,41472,101960,73497,28463,68745,56087,12658,198.7,200.8,141.6,3438692,3510658,1453409,178359
2015. 08,667,0,102.6,101.5,100,102,101.9,81594,,3596149,3450964,130911,42625,40418,2208,97861,61546,36314,93672,57362,36310,99578,72899,26678,64950,53565,11384,175,176.7,128.3,3292742,3361020,1431273,176856
2015. 09,668,0,102,101.2,100.3,102.8,103.1,81055,,3601051,3457691,128606,48236,46304,1932,101298,63458,37841,96263,58453,37809,96876,65795,31081,60222,51398,8824,178.3,180,131.4,3737673,3821252,1479541,177544
2015. 10,669,0,101.1,101.9,100.6,100.5,101.3,77945,,3612198,3467746,128525,50407,48423,1983,110542,72183,38359,105590,67239,38351,100568,73436,27132,67791,59986,7805,187.6,189.6,135.6,3292111,3360260,1531389,178952
2015. 11,670,0,100.8,98.4,101.1,100,100.7,74431,,3616011,3478621,121843,45454,43185,2269,113447,71500,41947,108449,66509,41940,109255,69838,39417,64394,54931,9463,187,188.9,136.2,3086729,3147938,1487088,179045
2015. 12,671,0,101,97.9,101.1,99.3,100.1,73514,,3634111,3491842,126510,46303,43282,3022,120747,73086,47661,114879,67387,47492,102858,68731,34127,59418,52731,6687,191.4,193.7,134.8,4300057,4408031,1581531,180231
2016. 01,672,0,99.4,96.8,101,97.8,99,81134,,3627992,3494274,118473,43026,40788,2238,110435,74066,36369,101007,64808,36199,116040,77202,38838,60093,53131,6962,179.6,181.4,130.7,3949333,4036812,1558484,178518
