time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,ut,numD,numDfull,numDpart,numE,cpi,exchangerate,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9,wsim
2014. 11,658,0,98.274,101.656,99.731,99.752,98.324,68039,,3573178,3412940,148079,45872,94.015,1107.9,42229,3643,114205,65136,49069,110131,61131,49000,109784,66541,43244,69738,53591,16147,182,183.8,135.8,3041380,3105116,1389193,171722,
2014. 12,659,0,99.712,103.575,99.91,102.495,101.442,68055,,3583258,3424758,146084,45982,94.006,1099.3,41281,4701,117529,66859,50670,111443,60806,50637,107706,69545,38161,64021,49755,14266,193.2,195.3,140.4,3987685,4085324,1489706,174698,
2015. 01,660,0,96.7,100.6,99.2,98.9,97.6,75059,8.038095,3585430,3433267,139324,44916,94.643,1093.5,40543,4373,118470,80405,38066,110535,72798,37736,116721,82743,33978,70852,55907,14946,187.3,189,143.1,3766824,3853180,1479086,176287,
2015. 02,661,0,100.5,101.1,99.2,102,100.6,75221,7.969014,3581912,3433364,134962,49892,94.587,1098.4,45612,4281,96858,55103,41755,90497,48757,41740,101122,64428,36694,63164,50772,12391,158,159.2,126.1,3754637,3840367,1418796,176455,
2015. 03,662,0,97.9,99.9,99.5,98.6,98.3,79495,7.972953,3588541,3441522,132793,53833,94.596,1109.5,50411,3422,125430,82905,42524,118346,75849,42497,119441,85331,34111,80234,67143,13091,194.2,196.2,142,3246508,3318388,1398545,175214,
2015. 04,663,0,100.3,99.5,99.5,99.8,99.5,80210,7.667286,3589494,3444612,130702,56250,94.625,1072.4,52886,3365,116193,76800,39394,108724,69336,39388,115195,82311,32884,73571,63347,10224,194.4,196.4,140.7,3229913,3298628,1422262,174080,
2015. 05,664,0,98.6,99.2,99.6,97.7,98,76882,7.667394,3583449,3438589,130402,51202,94.89,1108.2,49132,2071,101353,63313,38040,96828,58798,38031,107675,78522,29153,72173,60216,11956,171.5,172.9,132.4,3072538,3134248,1359688,175451,
2015. 06,665,0,99.3,99.9,99.9,99.8,99.9,80523,7.781087,3588904,3446747,127725,43269,94.909,1115.5,40848,2421,110766,69595,41171,106521,65449,41072,105285,73547,31738,68758,57334,11424,194.6,196.6,137.5,3318707,3386757,1423244,176425,
2015. 07,666,0,100,98,99.9,98.5,98.9,84487,7.711083,3597781,3452562,131030,39952,95.08,1170,37825,2127,111080,69598,41481,104545,63073,41472,101960,73497,28463,68745,56087,12658,198.7,200.8,141.6,3438692,3510658,1453409,178359,
2015. 08,667,0,102.6,101.5,100,102,101.9,81594,8.036302,3596149,3450964,130911,42625,95.213,1182.5,40418,2208,97861,61546,36314,93672,57362,36310,99578,72899,26678,64950,53565,11384,175,176.7,128.3,3292742,3361020,1431273,176856,
2015. 09,668,0,102,101.2,100.3,102.8,103.1,81055,7.76606,3601051,3457691,128606,48236,94.966,1185.3,46304,1932,101298,63458,37841,96263,58453,37809,96876,65795,31081,60222,51398,8824,178.3,180,131.4,3737673,3821252,1479541,177544,
2015. 10,669,0,101.1,101.9,100.6,100.5,101.3,77945,7.443902,3612198,3467746,128525,50407,94.966,1140.1,48423,1983,110542,72183,38359,105590,67239,38351,100568,73436,27132,67791,59986,7805,187.6,189.6,135.6,3292111,3360260,1531389,178952,
2015. 11,670,0,100.8,98.4,101.1,100,100.7,74431,7.382421,3616011,3478621,121843,45454,94.786,1158.1,43185,2269,113447,71500,41947,108449,66509,41940,109255,69838,39417,64394,54931,9463,187,188.9,136.2,3086729,3147938,1487088,179045,
2015. 12,671,0,101,97.9,101.1,99.3,100.1,73514,7.479259,3634111,3491842,126510,46303,95.07,1172.5,43282,3022,120747,73086,47661,114879,67387,47492,102858,68731,34127,59418,52731,6687,191.4,193.7,134.8,4300057,4408031,1581531,180231,
2016. 01,672,0,99.4,96.8,101,97.8,99,81134,8.045403,3627992,3494274,118473,43026,95.232,1199.1,40788,2238,110435,74066,36369,101007,64808,36199,116040,77202,38838,60093,53131,6962,179.6,181.4,130.7,3949333,4036812,1558484,178518,
2016. 02,673,0,100.5,100.3,100.6,100.1,100.8,82926,8.62147,3614625,3489365,110316,48299,95.64,1236.7,45298,3001,89805,56441,33364,84805,51476,33329,102872,67966,34905,58778,51227,7550,162.8,164.2,123.5,4155355,4248755,1491936,175274,
2016. 03,674,0,103.2,99.6,101,99.1,101,87057,8.589141,3614234,3489476,110523,52925,95.393,1143.5,48891,4034,112791,75128,37663,106199,68799,37400,112472,84051,28421,71669,64889,6780,193.6,195.9,131.1,3306994,3375646,1460743,171911,
2016. 04,675,0,101.4,99.8,101.1,98.4,100,85319,8.238146,3613785,3487573,111669,52620,95.573,1139.3,48844,3776,105613,69172,36441,98933,62550,36383,106370,77624,28746,65954,59322,6632,184.3,186.1,127.7,3365207,3423230,1507889,173404,
2016. 05,676,0,103.2,103,101.3,101.4,103.6,86974,7.918422,3613992,3485042,112902,52688,95.63,1191.7,50312,2376,101997,64404,37592,96176,58602,37574,103294,75003,28291,66037,59119,6918,183.1,185,125.7,3183872,3240767,1445621,174963,
2016. 06,677,0,102.3,101.1,101.7,100.3,103.8,87844,7.487231,3614863,3480041,117731,49571,95.611,1151.8,46780,2791,100868,63359,37509,96459,58978,37481,101040,76713,24327,68561,60875,7686,188.2,190,128.3,3380392,3437761,1533223,176736,
2016. 07,678,0,101.8,101.5,102.2,99.2,102.8,90630,7.699202,3617757,3482870,118530,46886,95.431,1120.2,43787,3099,101725,69621,32104,96740,64739,32001,98097,73782,24314,59146,53341,5805,186.5,188.4,127.4,3556514,3621884,1487863,177834,
2016. 08,679,0,100.9,98.5,102.4,97.2,101,92224,8.259055,3620416,3489425,114599,48489,95.677,1114.8,46440,2049,97971,62783,35188,93312,58129,35183,95346,66217,29129,62139,55403,6736,180.4,182.1,127.1,3398097,3456653,1552800,180385,
2016. 09,680,0,101.9,97.4,102.8,97.5,101.4,87732,8.129181,3628114,3501058,110824,51672,96.247,1101.3,48595,3076,101082,65239,35843,97328,61505,35823,93225,61150,32074,53877,48761,5116,169.5,171,118.2,3810008,3876403,1513855,182817,
2016. 10,681,0,99.5,99,103.2,95.7,100.6,79681,8.063894,3635446,3507384,112198,51787,96.379,1144.5,49856,1931,109221,71855,37367,105039,67679,37360,101522,73618,27904,62667,57339,5329,182.1,183.5,131.6,3500653,3554180,1659985,184174,
2016. 11,682,0,104.9,101.3,103.4,100.2,105.3,80155,7.785393,3642783,3516373,110657,47874,96.237,1169.1,45429,2446,99428,63234,36194,95057,58989,36067,91980,63897,28083,56776,51585,5192,194.4,196.3,130.9,3312314,3363489,1608332,184830,
2016. 12,683,0,104.6,102.3,103.5,97.9,104.3,76361,7.497853,3646129,3515668,114006,50717,96.342,1207.7,48626,2091,98364,59095,39269,93737,54512,39224,95720,67873,27847,56976,51836,5140,192.6,194.6,129.7,4314114,4395158,1687876,185855,
2017. 01,684,0,104.6,103.4,102.4,102.4,106.7,79637,7.253695,3640115,3514327,108927,44670,97.366,1162.1,41735,2935,96478,58373,38105,90216,52165,38051,102898,70753,32145,50847,46592,4255,175.9,177.9,126.7,4748384,4872316,1650993,180864,
2017. 02,685,0,103.4,99.9,102.1,98.4,104.8,82410,7.422493,3633563,3509096,107234,54085,97.632,1130.7,51277,2808,107872,69878,37993,102475,64523,37951,114796,81705,33091,64569,59119,5451,177.5,179.3,123.3,3463531,3526481,1576614,176091,
2017. 03,686,0,105.2,101.8,102.5,100.2,106.4,83371,7.509169,3633936,3512159,104430,57639,97.565,1118.4,55193,2446,119944,77346,42598,113843,71354,42489,119686,85427,34258,67389,60963,6426,192.7,194.9,129.5,3415611,3481268,1567147,172823,
2017. 04,687,0,103.2,101.6,102.6,98.6,104.4,80176,7.609437,3635096,3511074,105690,54221,97.442,1137.9,51902,2319,110718,69651,41066,105639,64576,41063,110542,78943,31599,64026,59486,4540,180.3,182.6,119.6,3476422,3546518,1579373,173892,
2017. 05,688,0,105.1,99.2,102.8,99.1,105.4,81321,7.488519,3630187,3505080,107150,54916,97.546,1119.5,52854,2063,105636,64410,41226,101125,59921,41203,110171,79319,30851,66831,61090,5741,175.8,177.8,122.6,3293298,3357309,1546021,174712,
2017. 06,689,0,104.3,99.4,102.8,97.5,104.2,82100,7.129724,3628326,3505578,104103,56194,97.338,1144.1,54093,2100,95812,63844,31968,92117,60168,31949,98361,73769,24593,61818,56251,5566,186,188.1,127.2,3572175,3640134,1664573,176618,
2017. 07,690,0,103.9,99.6,103,98.3,104.4,83600,7.329673,3628682,3506085,103763,50432,97.499,1119,48181,2251,101852,67920,33932,97043,63148,33895,101685,76207,25479,60158,55674,4484,183.4,185.3,127.3,3647276,3717818,1605786,178357,
2017. 08,691,0,104.8,99.3,103.3,99,104.9,85658,7.867771,3629852,3506118,104568,51617,98.058,1127.8,48869,2748,104815,64928,39887,99090,59307,39783,103976,73174,30802,63498,58288,5210,179.9,181.7,123.7,3480649,3545795,1528187,177561,
2017. 09,692,0,104.7,99.4,103.8,98.5,105.3,85923,7.365406,3650574,3523099,107502,51455,98.172,1145.4,48379,3076,113339,73517,39822,108499,68778,39721,93424,64124,29300,55268,50188,5080,186.2,188,130.5,4034548,4114176,1604651,179073,
2017. 10,693,0,103.8,101.4,104,99.6,105.7,73335,7.203499,3649920,3524885,105123,51802,98.077,1120.4,50032,1770,95161,56047,39114,91162,52184,38978,95755,64236,31519,51357,47574,3783,151.5,152.7,112.2,3506587,3568828,1497922,180124,
2017. 11,694,0,104.1,102.1,104.2,98.2,105.2,77982,7.064271,3660032,3537985,102178,46493,97.347,1088.2,44702,1791,110156,70917,39239,104636,65615,39021,100002,66632,33370,55636,49949,5686,191.8,193.6,133.3,3407926,3462892,1592369,179791,
2017. 12,695,0,99.9,98.6,104,95,102.7,73896,6.851611,3666487,3536131,110661,51474,97.698,1070.5,48702,2772,103272,57906,45366,95637,50293,45344,96643,66530,30113,54133,50140,3993,176.2,178,119.4,4229244,4316142,1539329,182022,
2018. 01,696,0,102,101.4,102.4,97.9,105,83215,7.049218,3716719,3582489,110956,49706,98.106,1067.9,47356,2349,128896,91745,37152,121401,84426,36976,123678,86400,37279,64707,60904,3803,188.5,190.3,132,4775935,4868704,1784409,182584,
2018. 02,697,0,104.3,98.6,102.3,99.1,105.9,83867,7.217347,3705844,3579991,101944,53772,98.855,1082.8,51383,2390,110020,77567,32453,101788,69767,32022,121530,82119,39410,59298,55392,3906,158.5,159.9,111.4,4583613,4670511,1630195,178654,
2018. 03,698,0,101.3,98.8,102.1,97.2,104.4,87936,7.300366,3707015,3586046,98236,56831,98.751,1063.5,54147,2684,141941,98297,43644,132937,89307,43630,139595,94209,45386,74069,69446,4622,182.1,184.2,117,3669462,3737835,1524602,176938,
2018. 04,699,0,103.2,101.4,102.2,100.7,107.1,90395,7.589137,3705462,3583809,98655,57314,98.931,1068,55117,2197,133455,91824,41631,126223,84611,41612,135272,93653,41619,75657,70389,5268,182.6,184.4,120.8,3577361,3633759,1649269,175414,
2018. 05,700,0,107,103.7,102.3,101.5,108.1,93452,7.709601,3706772,3580926,101898,57483,98.979,1077.7,55636,1848,129730,88826,40904,123069,82180,40888,129370,90800,38570,72335,68218,4116,178.3,180,120.4,3442552,3498707,1539320,175740,
2018. 06,701,0,103.5,104.2,102.8,100.3,108.4,92065,7.82342,3707410,3582324,101440,53232,98.779,1114.5,50705,2527,133869,93523,40346,127446,87503,39943,132929,91804,41124,72595,67919,4676,172.7,174.2,119.2,3632250,3691213,1616913,176525,
2018. 07,702,0,102.6,103.3,103.2,99.3,107.8,95985,8.390661,3708921,3583577,101464,54076,98.59,1118.7,51377,2698,128837,89963,38873,120458,81762,38697,127559,88814,38746,65911,62108,3803,184.6,186.5,121,3861917,3927822,1733268,176545,
2018. 08,703,0,105.6,103.9,103.3,101.2,108.9,95757,9.040147,3715172,3589263,101958,56829,99.462,1112.9,53177,3651,125317,86837,38480,118875,80570,38305,119137,79976,39161,66771,62310,4461,177.7,179.5,122.2,3635022,3698987,1598229,176817,
2018. 09,704,0,102.3,103.9,103.8,98.2,106.2,88059,8.281716,3708637,3586576,98115,56012,100.221,1109.3,51635,4377,120667,74778,45889,114216,68382,45834,127197,77689,49508,59143,55493,3650,155.8,157.2,113.8,4214534,4299162,1633209,177235,
2018. 10,705,0,103.3,106.3,103.9,100.2,107.5,87914,8.499518,3725800,3595629,104958,51556,100.041,1139.6,49618,1939,134886,87090,47796,128518,80802,47716,118990,78157,40833,62678,58602,4077,182.1,184.2,118.5,3653533,3720808,1623928,179230,
2018. 11,706,0,103,99.6,104.1,98.1,105.5,84382,8.464805,3732141,3602737,105328,50010,99.33,1121.2,47357,2654,127965,85485,42480,121792,79320,42471,120487,77914,42573,61748,58408,3340,188.3,190.4,122.4,3444159,3506704,1546586,179000,
2018. 12,707,0,100.9,97,103.9,96.4,103.6,81076,8.122954,3728507,3602886,101233,46258,98.988,1115.7,44343,1915,125174,78343,46831,116017,69351,46666,129120,78301,50819,56653,53155,3498,173.8,175.8,115.4,4670734,4774884,1697704,181134,
2019. 01,708,0,104.8,98.3,103.3,97.4,105.2,92243,8.469946,3734614,3611086,99801,43018,98.884,1112.7,40211,2808,141277,98670,42606,129893,87657,42236,134508,90784,43724,61838,58003,3835,186.5,188.5,123.9,5144408,5261059,1648997,179562,
2019. 02,709,0,100.5,98.2,102.9,94,101.9,88667,8.042415,3730576,3613223,94216,42353,99.311,1124.7,40789,1565,114372,77246,37126,106951,69939,37011,117821,75427,42394,59920,56532,3388,149.9,151.1,106.9,4363421,4444956,1633020,177540,
2019. 03,710,0,102.2,101,103.1,95.9,103.9,94545,7.377758,3730956,3611967,95340,42107,99.121,1135.1,40637,1470,128999,89130,39869,121102,81315,39788,129131,90384,38748,72158,68522,3636,174.9,176.7,117,3788917,3859622,1598705,176250,
2019. 04,711,0,103.4,99.1,102.5,99.2,105.9,98366,7.44929,3736843,3614609,97701,42266,99.481,1168.2,40932,1334,135746,90705,45041,129647,84728,44920,130742,88268,42474,68088,65232,2856,188.1,190.2,123.1,3698506,3764572,1703941,177843,
2019. 05,712,0,101.8,101.2,102.6,98.2,105.7,98517,7.531351,3732591,3612376,96555,43457,99.652,1190.9,42205,1252,118833,80024,38810,113919,75147,38772,122212,82327,39885,67749,65316,2432,182.1,184,121.2,3560890,3623847,1583843,176254,
2019. 06,713,0,101,102.9,102.6,97.9,106.3,95920,7.50831,3728840,3608269,96426,41000,99.491,1154.7,39117,1883,121271,76442,44829,114651,70006,44646,125508,79752,45755,65337,62100,3237,169,170.8,113.6,3697597,3763718,1623822,176709,
2019. 07,714,0,103.3,103.5,102.9,100.7,108.6,101569,7.885479,3726500,3603248,98793,42927,99.187,1183.1,39939,2988,116384,73352,43031,110687,67919,42767,119037,78339,40698,64672,60943,3729,190,192.2,122.8,3961627,4033484,1699772,177397,
2019. 08,715,0,102.8,105.3,102.7,99,106.5,98756,7.99899,3730210,3604463,99600,40564,99.425,1211.2,38742,1821,112661,68180,44481,107105,62680,44425,110639,67349,43290,56239,52527,3712,169.3,171.3,112.2,3799714,3873046,1644297,177231,
2019. 09,716,0,101.5,106.4,102.9,100.8,108.1,94972,7.758811,3729861,3605646,97930,39978,99.794,1196.2,37981,1997,114199,69393,44806,108936,64303,44632,114686,68268,46418,56018,52983,3036,163.4,165.2,108.9,4313857,4397922,1767051,177675,
2019. 10,717,0,101.5,104.6,103.4,99.4,107.1,90845,7.413897,3738194,3608279,103833,41157,100.041,1163.4,38802,2356,119004,75894,43110,113208,70124,43084,110468,72897,37572,59858,57985,1874,179.5,181.8,112.3,3794588,3867250,1647858,178437,
2019. 11,718,0,100.5,101.3,104.9,97.4,107.5,90065,6.838284,3735574,3604265,104603,35917,99.481,1181.2,34514,1403,113643,68214,45429,108631,63363,45268,116887,72210,44676,56804,54428,2376,180.5,182.6,116.4,3562493,3627776,1557563,177251,
2019. 12,719,0,102.9,108,104.8,99.5,110.6,89433,6.987917,3732618,3600909,104951,38321,99.719,1156.4,36664,1657,110915,65859,45056,105500,60484,45016,113923,69406,44517,52166,49817,2349,178.2,180.4,115.1,4524199,4620586,1755452,180324,24.33556652
2020. 01,720,0,100.9,102.1,104.5,99.2,108.5,98584,7.485456,3729925,3604385,102055,35529,100.09,1191.8,34359,1170,113794,68348,45446,101903,56767,45137,113214,71796,41418,41353,39094,2258,168.3,170.1,115,5098323,5205281,1798515,179583,23.94675784
2020. 02,721,0,93.8,102.1,104.4,93.7,105.4,102627,7.954468,3719700,3600128,94898,35114,100.16,1213.7,34178,936,109449,74832,34616,99082,64630,34453,120863,79106,41757,59706,56159,3547,169.8,171.6,109.5,3749170,3808747,1665937,176174,23.27317076
2020. 03,722,0,98.7,109.5,104.6,98.8,109.8,108737,8.33003,3708373,3587082,95944,30629,99.94,1217.4,29847,782,114257,70676,43581,106893,63611,43281,126257,84269,41988,57521,54359,3163,185,187,117.6,3817219,3877085,1767122,170850,22.39279409
2020. 04,723,0,96.7,97,104.4,93.7,103.7,114126,8.382839,3670583,3550381,95324,25405,99.5,1218.2,24811,595,97343,63585,33758,85550,51945,33605,134664,100690,33974,49443,46915,2528,169.9,171.4,116.1,3727412,3783127,1718279,167592,21.41763617
2020. 05,724,0,90.5,89.7,104.3,85.2,95.9,122065,8.736823,3652870,3528653,98674,25059,99.44,1238.5,23688,1371,99215,59048,40167,79226,39767,39458,117593,80810,36783,44572,42112,2461,157.4,158.8,109.3,3566471,3621835,1620056,164595,20.44585642
2020. 06,725,0,97,96.7,104.4,91.9,103.4,133125,8.947279,3640734,3518889,95565,27506,99.71,1203,26349,1157,112974,71565,41409,92084,50698,41386,125847,82244,43603,48772,46438,2334,177.7,179.5,112.6,3646704,3705358,1597146,161406,19.67936486
2020. 07,726,0,98.5,100,104.5,94.1,105.8,140567,8.856824,3643498,3513743,103089,30582,99.63,1191.3,29107,1475,125060,74931,50129,103024,53675,49350,122683,79989,42694,50285,46846,3439,184.2,186.5,110.3,3954664,4024881,1641991,158471,19.29011291
2020. 08,727,0,98.3,100.3,104.6,94.5,106.2,138928,8.344415,3642894,3506353,109436,34984,100.19,1187.8,33170,1814,113902,64450,49452,98906,50484,48422,114945,71691,43254,50226,46123,4102,160.3,161.8,109.7,3769411,3830648,1660833,156193,19.34366153
2020. 09,728,0,102.7,106.3,105.2,98.5,109.8,140008,8.645403,3648436,3507603,114219,31981,100.74,1169.5,30976,1005,122529,69740,52790,108047,55937,52110,116497,68528,47969,46811,43154,3656,176.4,178.4,114.5,4405555,4486357,1914938,153592,19.85900984
