t,prod,L,Lfixed,vorig,vsim,vsimfixed,vsim_sticky,vsimfixed_sticky,worig,wsim,wsimfixed,wsim_sticky,wsimfixed_sticky,wsim_sticky_95,wsimfixed_sticky_95,uorig,usim,usimfixed,usim_sticky,usimfixed_sticky,f,vlong,ulong,vsim_bestfit,vsimfixed_bestfit,usim_bestfit,usimfixed_bestfit,wsim_bestfit,wsimfixed_bestfit
726,0.9370801,1,1,0.0076529,0.010964793,0.010880246,0.010964793,0.010880246,0.8096663,0.870308899,0.867290827,0.817512509,0.817471532,0.840345472,0.840143499,0.088247,0.089888344,0.090004123,0.089888344,0.090004123,0.920704,,,0.006720559,0.006623516,0.085644109,0.085747394,0.739143332,0.73492508
727,0.9489511,0.999658,1,0.0087269,0.010995157,1.07E-02,0.010995157,0.010677864,0.809015,0.874648153,0.863323489,0.818083866,0.817930052,0.842060606,0.841302499,0.0912606,0.090611203,0.091014312,0.090611203,0.091014312,0.9199479,,,0.006670712,0.006308189,0.086286758,0.086644638,0.739505175,0.723589366
728,0.9619359,0.9983062,1,0.0079756,0.011253881,1.04E-02,0.011253881,0.010421934,0.8082756,0.890792888,0.860354216,0.818810956,0.818354293,0.84449722,0.842255085,0.0901293,0.090770841,0.091910407,0.090770841,0.091910407,0.9200834,,,0.007000095,0.005994029,0.086517055,0.087482502,0.758425529,0.713735122
729,0.9731146,0.9959768,1,0.0085061,0.011652696,0.010154452,0.011652696,0.010154452,0.8074562,0.917667834,0.860041434,0.819799525,0.818771165,0.848155751,0.843144402,0.0886832,0.090347105,0.092821818,0.090347105,0.092821818,0.9210302,,,0.007634865,0.005648719,0.086329274,0.088316085,0.7941507,0.704213583
730,0.9814898,0.9930987,1,0.008828,0.012103653,0.009911691,0.012103653,0.009911691,0.8068793,0.942841095,0.855061593,0.82102994,0.819134069,0.852890018,0.843740262,0.0839631,0.089462299,0.093742106,0.089462299,0.093742106,0.9225218,,,0.008437475,0.005307768,0.08579612,0.089138183,0.833640715,0.690827684
731,0.9873877,0.9900358,1,0.0086853,0.012540839,0.009682262,0.012540839,0.009682262,0.8065244,0.96308431,0.845590167,0.822450484,0.81939863,0.858399733,0.843832757,0.0828787,0.088330297,0.094646956,0.088330297,0.094646956,0.924191,,,0.00927018,0.004984285,0.085059639,0.089948979,0.869915025,0.674794526
732,0.9914268,0.9870391,1,0.0088361,0.012956375,0.009503238,0.012956375,0.009503238,0.8067945,0.979512835,0.835319282,0.824021108,0.819557836,0.864455388,0.843407083,0.0834864,0.087122728,0.095495952,0.087122728,0.095495952,0.9258659,,,0.010065008,0.004720004,0.084231361,0.090712717,0.901259313,0.659866438
733,0.9940268,0.984385,1,0.0105817,0.013348238,0.00943268,0.013348238,0.00943268,0.8071206,0.994646008,0.82909093,0.825727357,0.819653167,0.870964919,0.842691276,0.0833266,0.085921036,0.09617053,0.085921036,0.09617053,0.9275092,,,0.010797845,0.004596174,0.083370643,0.091334024,0.92911834,0.651698911
734,0.994572,0.9824451,1,0.0120446,0.013691341,0.00950141,0.013691341,0.00950141,0.8070615,1.008183678,0.828877767,0.82755192,0.819745413,0.877825857,0.8420006,0.0821044,0.084774693,0.096512385,0.084774693,0.096512385,0.9290406,,,0.011437855,0.004680514,0.082521206,0.091691489,0.953100183,0.653937844
735,0.9939441,0.9814161,1,0.0128638,0.013972211,0.009671388,0.013972211,0.009671388,0.8068289,1.019744159,0.833718104,0.829473842,0.81988514,0.884921772,0.841586476,0.0822081,0.083743799,0.096440209,0.083743799,0.096440209,0.9303586,,,0.011958997,0.004954489,0.081730585,0.09172331,0.972694397,0.665690348
736,0.9930607,0.9810137,1,0.0126309,0.014208553,0.009847975,0.014208553,0.009847975,0.8065925,1.031487482,0.841400862,0.831493979,0.820100297,0.892250058,0.841577195,0.0798885,0.08288238,0.0960501,0.08288238,0.0960501,0.9314367,,,0.012371376,0.005297954,0.081045204,0.091500079,0.990071091,0.681932492
737,0.9930108,0.9808943,1,0.0131405,0.014413212,0.009990727,0.014413212,0.009990727,0.8063992,1.045141149,0.850922999,0.83363045,0.820408524,0.899894612,0.842044485,0.0792501,0.082189964,0.095534733,0.082189964,0.095534733,0.9322733,,,0.012702684,0.005606235,0.080479436,0.091150241,1.00755503,0.698431526
738,0.9942946,0.9807961,1,0.0130954,0.014627466,0.010116906,0.014627466,0.010116906,0.8062631,1.062240565,0.862511889,0.835916551,0.820829558,0.90801191,0.843067855,0.0802755,0.081605592,0.095013937,0.081605592,0.095013937,0.9329753,,,0.013013772,0.005858607,0.079991898,0.090755637,1.02747292,0.714343946
739,0.9970787,0.9806509,1,0.0136878,0.014913896,0.010296668,0.014913896,0.010296668,0.8060482,1.079473973,0.874616042,0.838352126,0.821367423,0.916585013,0.844645265,0.083006,0.081003249,0.094457856,0.081003249,0.094457856,0.9337846,,,0.013396062,0.006130137,0.079485415,0.090291325,1.047796706,0.730406207
740,1.001421,0.9805102,1,0.0137344,0.015311287,0.010567402,0.015311287,0.010567402,0.8059002,1.099491022,0.889574767,0.840963515,0.822049496,0.925730313,0.84689174,0.0803485,0.080259173,0.09374854,0.080259174,0.09374854,0.93493,,,0.013923499,0.006504591,0.078871386,0.089685728,1.072065831,0.750861871
741,1.008124,0.9803364,1,0.0140648,0.015790859,0.010875273,0.015790859,0.010875273,0.8058631,1.123589288,0.907157952,0.843789772,0.822900581,0.935623262,0.84990505,0.0792368,0.079354837,0.092855439,0.079354837,0.092855439,0.9363818,,,0.014591606,0.006964454,0.078155583,0.08894462,1.101872849,0.775873121
742,1.016954,0.9801416,1,0.01379,0.016289423,0.011182188,0.016289423,0.011182188,0.8056759,1.148082491,0.924772099,0.8468327,0.823919296,0.946246224,0.853648403,0.0744093,0.078361867,0.091860039,0.078361867,0.091860039,0.9379816,,,0.015333093,0.007451641,0.077405537,0.088129493,1.133140599,0.801935644
743,1.026,0.979984,1,0.0155419,0.016725312,0.011442605,0.016725312,0.011442605,0.8050645,1.17204372,0.941895857,0.85008481,0.825099062,0.957536098,0.858060775,0.0736928,0.077411434,0.090883416,0.077411434,0.090883416,0.9394416,,,0.016039782,0.007893318,0.076725903,0.087334129,1.164015949,0.82677862
744,1.032691,0.9799351,1,0.0159787,0.017060786,0.011655918,0.017060786,0.011655918,0.8051631,1.194848202,0.958838041,0.853532444,0.826436452,0.969401704,0.863099639,0.0756026,0.076609016,0.090016785,0.076609016,0.090016785,0.9405906,,,0.016635356,0.008258204,0.076183587,0.086619071,1.193034794,0.849567293
745,1.035785,0.9800169,1,0.0166745,0.017306718,0.011840072,0.017306718,0.011840072,0.8058877,1.209880403,0.971371754,0.857095923,0.827885805,0.981425639,0.868513245,0.075395,0.075986793,0.089278216,0.075986793,0.089278216,0.9414578,,,0.017104138,0.008557361,0.075784213,0.085995505,1.213172966,0.86696253
746,1.035652,0.9801962,1,0.0174897,0.017465515,0.011985863,0.017465515,0.011985863,0.8067304,1.216586695,0.978718003,0.860690831,0.829394127,0.993183691,0.874023482,0.0749107,0.075547526,0.088666682,0.075547526,0.088666682,0.9420547,,,0.017442542,0.008791754,0.075524553,0.085472573,1.223816961,0.878507308
747,1.032514,0.9804564,1,0.0173589,0.017533764,0.012097566,0.017533764,0.012097566,0.8074502,1.216414539,0.982041644,0.864248068,0.830920602,1.004345234,0.879424391,0.0762124,0.075286536,0.088179571,0.075286536,0.088179571,0.942378,,,0.017646425,0.008966855,0.075399197,0.085048859,1.226484111,0.885232694
748,1.027618,0.980885,1,0.0177206,0.017512175,0.012208093,0.017512175,0.012208093,0.8077666,1.213559686,0.985478616,0.867741184,0.832466182,1.014805956,0.884727102,0.0750466,0.075187455,0.087776376,0.075187455,0.087776376,0.9424681,,,0.017714806,0.009119333,0.075390086,0.084687616,1.225465123,0.891171177
749,1.022006,0.9815779,1,0.0183695,0.017386515,0.012318174,0.017386515,0.012318174,0.8080184,1.207749932,0.98934713,0.871141272,0.834034991,1.024453155,0.889958103,0.0736582,0.075255421,0.087414947,0.075255421,0.087414947,0.9422624,,,0.017630114,0.009267782,0.075499019,0.084364555,1.220483941,0.8972818
750,1.015749,0.9826584,1,0.017714,0.017173471,0.012438255,0.017173471,0.012438255,0.8081378,1.200547147,0.994911099,0.874435331,0.835643752,1.033257855,0.895205753,0.0753278,0.075475148,0.08706496,0.075475148,0.08706496,0.9417161,,,0.017400389,0.009429196,0.075702066,0.084055902,1.212944641,0.905012524
751,1.009335,0.9841173,1,0.0168171,0.016990078,0.012547107,0.016990078,0.012547107,0.8077422,1.193862758,1.000049406,0.877629605,0.837287809,1.0412881,0.900447936,0.0788026,0.075736494,0.086727629,0.075736494,0.086727629,0.940988,,,0.017140383,0.009588909,0.075886799,0.083769431,1.204625305,0.9125524
752,1.002773,0.9857577,1,0.0169708,0.017093923,0.012440202,0.017093923,0.012440202,0.8077422,1.190168072,1.002195092,0.880754989,0.838936882,1.048732098,0.905535293,0.0762818,0.076801023,0.085539236,0.076801023,0.085539236,0.9402929,,,0.017142407,0.009533906,0.076849507,0.08263294,1.198703751,0.915522532
753,,,,,,,,,,,,,,,,,,,,,,0.009518,0.0729055,,,,,,
754,,,,,,,,,,,,,,,,,,,,,,0.009518,0.0729055,,,,,,
755,,,,,,,,,,,,,,,,,,,,,,0.009518,0.0729055,,,,,,
