time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2009. 08,595,11,83.832,49.574,90.625,97.116,84.935,,,14693,13269,1393,103,65,38,286,182,105,285,180,105,353,175,177,160,110,50,,,,,,,
2009. 09,596,11,87.106,47.169,90.976,94.294,83.799,,,14758,13324,1420,101,80,21,301,174,126,274,148,126,219,112,107,107,81,26,,,,,,,
2009. 10,597,11,83.661,48.926,90.976,93.688,82.179,,,14751,13368,1368,112,74,37,429,158,272,370,98,272,437,123,314,104,74,29,,,,,,,
2009. 11,598,11,82.624,48.581,90.888,88.642,79.144,,,14744,13339,1404,46,34,13,1001,162,839,997,157,839,993,171,822,163,90,72,,,,,,,
2009. 12,599,11,81.253,48.044,91.151,86.071,79.45,,,14694,13301,1393,59,42,17,311,142,170,301,131,170,361,197,165,175,129,46,,,,,,,
2010. 01,600,11,85.032,41.506,89.835,90.304,81.068,,,14851,13339,1512,105,71,34,1340,133,1207,1296,89,1207,1183,196,987,149,102,47,,,,,,,
2010. 02,601,11,89.27,56.567,89.835,95.218,86.393,,,14702,13387,1315,135,70,65,955,130,825,920,96,825,1104,175,929,285,151,134,,,,,,,
2010. 03,602,11,87.466,57.326,89.835,98.411,87.741,,,14832,13464,1368,261,184,77,643,172,472,626,155,472,513,170,343,180,129,52,,,,,,,
2010. 04,603,11,87.917,57.151,91.758,93.169,86.24,,,14857,13537,1320,146,121,25,405,177,228,395,167,228,380,172,208,232,137,95,,,,,,,
2010. 05,604,11,90.081,53.415,92.033,96.353,88.326,,,14844,13601,1243,200,144,56,708,171,537,691,153,537,721,218,504,173,112,61,,,,,,,
2010. 06,605,11,90.622,55.108,92.125,96.407,88.248,,,14937,13576,1361,122,114,7,999,163,836,969,133,836,906,225,681,192,169,23,,,,,,,
2010. 07,606,11,89.72,49.095,92.216,93.982,86.514,,,15090,13608,1482,127,124,3,1002,233,768,974,205,768,849,171,678,178,136,42,,,,,,,
2010. 08,607,11,89.991,60.946,92.216,94.265,87.583,,,14977,13596,1381,209,206,3,693,100,593,686,93,593,806,149,657,199,110,89,,,,,,,
2010. 09,608,11,95.401,66.316,92.216,95.843,88.672,,,15037,13632,1405,167,123,44,557,154,403,550,147,403,497,124,373,181,114,67,,,,,,,
2010. 10,609,11,89.27,70.87,92.216,99.128,90.306,,,15162,13862,1300,99,96,3,1583,397,1186,1505,322,1183,1458,214,1244,315,188,126,,,,,,,
